Time,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
2007-06-28,-0.055263158,-0.05208705,,,,,,,,,,,
2007-06-29,0.007575758,0.019272727,,,,,,,,,,,
2007-07-02,0.006481128,0.00255195,,,,,,,,,,,
2007-07-03,0.008070715,0.02046131,,,,,,,,,,,
2007-07-05,-0.009893455,-0.008483954,,,,,,,,,,,
2007-07-06,0.011547344,0.016116942,,,,,,,,,,,
2007-07-09,-0.007639419,-0.005590757,,,,,,,,,,,
2007-07-10,0.012765957,-0.00260223,,,,,,,,,,,
2007-07-11,,0.012420023,,,,,,,,,,,
2007-07-12,,0.006058311,,,,,,,,,,,
2007-07-13,,-0.007142857,,,,,,,,,,,
2007-07-16,,0.011022425,,,,,,,,,,,
2007-07-17,,-0.022659733,,,,,,,,,,,
2007-07-18,,-0.048090523,,,,,,,,,,,
2007-07-19,,0.007122507,,,,,,,,,,,
2007-07-20,,0.019607843,,,,,,,,,,,
2007-07-23,,-0.008996042,,,,,,,,,,,
2007-07-24,,-0.01767409,,,,,,,,,,,
2007-07-25,,-0.011530398,,,,,,,,,,,
2007-07-26,,-0.011398964,,,,,,,,,,,
2007-07-27,,0.006956522,,,,,,,,,,,
2007-07-30,,0.008064516,,,,,,,,,,,
2007-07-31,,0.00316567,,,,,,,,,,,
2007-08-01,,-0.005596362,,,,,,,,,,,
2007-08-02,,-0.003138075,,,,,,,,,,,
2007-08-03,,0.020640569,,,,,,,,,,,
2007-08-06,,0.001068757,,,,,,,,,,,
2007-08-07,,0.052493438,,,,,,,,,,,
2007-08-08,,0.003386005,,,,,,,,,,,
2007-08-09,,0.005295008,,,,,,,,,,,
2007-08-10,,0.009931245,,,,,,,,,,,
2007-08-13,,-0.015048909,,,,,,,,,,,
2007-08-14,,0.06746988,,,,,,,,,,,
2007-08-15,,0.006874242,,,,,,,,,,,
2007-08-16,,-0.028672427,,,,,,,,,,,
2007-08-17,,0.006324111,,,,,,,,,,,
2007-08-20,,0.011191047,,,,,,,,,,,
2007-08-21,,-0.003187251,,,,,,,,,,,
2007-08-22,,-0.01142182,,,,,,,,,,,
2007-08-23,,0.0103462,,,,,,,,,,,
2007-08-24,,-0.001985703,,,,,,,,,,,
2007-08-27,,0.009218437,,,,,,,,,,,
2007-08-28,,-0.007952286,,,,,,,,,,,
2007-08-29,,0.02778913,,,,,,,,,,,
2007-08-30,,0.002458009,,,,,,,,,,,
2007-08-31,,0.040938166,,,,,,,,,,,
2007-09-04,,-0.000426257,,,,,,,,,,,
2007-09-05,,-0.008033827,,,,,,,,,,,
2007-09-06,,-0.004210526,,,,,,,,,,,
2007-09-07,,-0.032980456,,,,,,,,,,,
2007-09-10,,-0.00081367,,,,,,,,,,,
2007-09-11,,-0.020717131,,,,,,,,,,,
2007-09-12,,0.002396166,,,,,,,,,,,
2007-09-13,,0.00119952,,,,,,,,,,,
2007-09-14,,0.004821213,,,,,,,,,,,
2007-09-17,,-0.018533123,,,,,,,,,,,
2007-09-18,,0.00955414,,,,,,,,,,,
2007-09-19,,-0.01875,,,,,,,,,,,
2007-09-20,,-0.011964492,,,,,,,,,,,
2007-09-21,,-0.017816528,,,,,,,,,,,
2007-09-24,,-0.002269289,,,,,,,,,,,
2007-09-25,,0.009545628,,,,,,,,,,,
